"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","Time_Gain"
"19-OCT-2017",2017-10-19 08:55:19,"2017-10-19","8H 55M 19S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100846.3984375,NA,NA,116904.0625,NA,NA,528,NA,177.600006103516,NA,148.800003051758,NA,402.220001220703,NA,232.050003051758,NA,501.489990234375,NA,347.799987792969,NA,328.059997558594,NA,295.160003662109,NA,375.830017089844,NA,430.220001220703,NA,223.440002441406,NA,154.350006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-OCT-2017",2017-10-18 09:27:30,"2017-10-18","9H 27M 30S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,102117.6015625,NA,NA,115808.42578125,NA,NA,515.200012207031,NA,168.800003051758,NA,139.199996948242,NA,461.370025634766,NA,231.139999389648,NA,485.040008544922,NA,328.059997558594,NA,307.380004882812,NA,269.779998779297,NA,354.27001953125,NA,404.740020751953,NA,210.699996948242,NA,147.490005493164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-OCT-2017",2017-10-17 09:29:32,"2017-10-17","9H 29M 32S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,96180.40234375,NA,NA,115215.1015625,NA,NA,468,NA,125.599998474121,NA,95.2000045776367,NA,360.360015869141,NA,168.350006103516,NA,449.320007324219,NA,278.239990234375,NA,269.779998779297,NA,203.979995727539,NA,310.170013427734,NA,361.130004882812,NA,160.229995727539,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-OCT-2017",2017-10-16 08:43:48,"2017-10-16","8H 43M 48S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,20710,NA,NA,59707.376953125,NA,NA,120.400001525879,NA,40,NA,52,NA,76.4400024414062,NA,64.6100006103516,NA,151.809997558594,NA,60.1599998474121,NA,97.7600021362305,NA,84.5999984741211,NA,96.5299987792969,NA,132.300003051758,NA,50.4700012207031,NA,40.6700019836426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-OCT-2017",2017-10-13 09:27:56,"2017-10-13","9H 27M 56S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,48908.80078125,NA,NA,105070.87890625,NA,NA,196.800003051758,NA,67.2000045776367,NA,78.4000015258789,NA,256.620002746582,NA,117.390007019043,NA,517.940002441406,NA,167.31999206543,NA,258.5,NA,147.580001831055,NA,221.480010986328,NA,271.705001831055,NA,100.450004577637,NA,65.6600036621094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12-OCT-2017",2017-10-12 08:27:23,"2017-10-12","8H 27M 23S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,73474,NA,NA,115390.27734375,NA,NA,469.600006103516,NA,120.800003051758,NA,96,NA,351.260009765625,NA,158.34001159668,NA,568.230010986328,NA,377.880004882812,NA,317.720001220703,NA,218.080001831055,NA,294.490020751953,NA,344.470001220703,NA,149.940002441406,NA,92.6100006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-OCT-2017",2017-10-11 09:27:48,"2017-10-11","9H 27M 48S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,37403.19921875,NA,NA,63229.076171875,NA,NA,155.199996948242,NA,60,NA,75.2000045776367,NA,114.660003662109,NA,89.1800003051758,NA,266.489990234375,NA,83.6599960327148,NA,151.809997558594,NA,114.680000305176,NA,138.669998168945,NA,187.669998168945,NA,73.5,NA,62.7200012207031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-OCT-2017",2017-10-10 08:57:18,"2017-10-10","8H 57M 18S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,69344.80078125,NA,NA,115306.55859375,NA,NA,509.200012207031,NA,149.600006103516,NA,116.800003051758,NA,340.339996337891,NA,161.070007324219,NA,577.159973144531,NA,383.049987792969,NA,292.339996337891,NA,215.729995727539,NA,274.645004272461,NA,334.915008544922,NA,165.620010375977,NA,108.779998779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09-OCT-2017",2017-10-09 09:07:02,"2017-10-09","9H 7M 2S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,20926.0009765625,NA,NA,60887.19140625,NA,NA,134.400009155273,NA,51.2000007629395,NA,68,NA,70.9800033569336,NA,69.1600036621094,NA,151.339996337891,NA,59.2200012207031,NA,85.5400009155273,NA,95.879997253418,NA,105.840003967285,NA,139.160003662109,NA,60.7600021362305,NA,51.9400024414062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-OCT-2017",2017-10-06 10:23:04,"2017-10-06","10H 23M 4S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,106396.8046875,NA,NA,118304.09765625,NA,NA,568.799987792969,NA,196.800003051758,NA,164,NA,405.860015869141,NA,234.780014038086,NA,635.440002441406,NA,441.799987792969,NA,395.739990234375,NA,326.179992675781,NA,368.480010986328,NA,442.960021972656,NA,216.580001831055,NA,154.350006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-OCT-2017",2017-10-05 09:33:11,"2017-10-05","9H 33M 11S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,103326,NA,NA,119249.58984375,NA,NA,570.400024414062,NA,191.199996948242,NA,158.400009155273,NA,398.580017089844,NA,225.68000793457,NA,611.940002441406,NA,422.059997558594,NA,370.359985351562,NA,304.089996337891,NA,358.190002441406,NA,434.140014648438,NA,214.130004882812,NA,150.919998168945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04-OCT-2017",2017-10-04 11:16:51,"2017-10-04","11H 16M 51S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,104093.203125,NA,NA,121141.4765625,NA,NA,513.600036621094,NA,164,NA,132.800003051758,NA,397.670013427734,NA,222.950012207031,NA,591.260009765625,NA,405.139984130859,NA,370.359985351562,NA,288.579986572266,NA,365.540008544922,NA,416.990020751953,NA,217.559997558594,NA,149.449996948242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03-OCT-2017",2017-10-03 09:04:22,"2017-10-03","9H 4M 22S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,19392.80078125,NA,NA,56343.560546875,NA,NA,52.7999992370605,NA,20.8000011444092,NA,32.7999992370605,NA,38.2200012207031,NA,36.4000015258789,NA,79.4300003051758,NA,29.1399993896484,NA,44.1800003051758,NA,51.7000007629395,NA,49.4900016784668,NA,52.9200019836426,NA,29.4000015258789,NA,26.9500007629395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02-OCT-2017",2017-10-02 11:03:55,"2017-10-02","11H 3M 55S","Unknown","2.16.0","Unknown","",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,92691.203125,NA,NA,115148.21875,NA,NA,462.399993896484,NA,143.199996948242,NA,112.800003051758,NA,324.869995117188,NA,146.510009765625,NA,488.329986572266,NA,324.299987792969,NA,239.699996948242,NA,189.880004882812,NA,246.470001220703,NA,292.040008544922,NA,147.979995727539,NA,101.430000305176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29-SEP-2017",2017-09-29 09:01:51,"2017-09-29","9H 1M 51S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,21105.6005859375,NA,NA,35285.25,NA,NA,49.6000022888184,NA,18.3999996185303,NA,26.3999996185303,NA,40.9500007629395,NA,35.4900016784668,NA,96.8199996948242,NA,31.0200004577637,NA,48.8800010681152,NA,49.8199996948242,NA,52.4300003051758,NA,66.1500015258789,NA,26.4600009918213,NA,24.0100002288818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28-SEP-2017",2017-09-28 08:22:51,"2017-09-28","8H 22M 51S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,21766.400390625,NA,NA,15975.5053710938,NA,NA,31.2000007629395,NA,14.4000005722046,NA,20,NA,31.8500003814697,NA,27.3000011444092,NA,67.6800003051758,NA,26.3199996948242,NA,38.5400009155273,NA,42.2999992370605,NA,40.6700019836426,NA,46.060001373291,NA,21.0699996948242,NA,19.1100006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27-SEP-2017",2017-09-27 09:53:58,"2017-09-27","9H 53M 58S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,20001.6005859375,NA,NA,10807.16015625,NA,NA,28.8000011444092,NA,12.8000001907349,NA,22.3999996185303,NA,27.3000011444092,NA,26.3900012969971,NA,54.5200004577637,NA,23.5,NA,31.9599990844727,NA,36.6599998474121,NA,36.2600021362305,NA,40.1800003051758,NA,19.1100006103516,NA,17.1499996185303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-SEP-2017",2017-09-26 09:13:21,"2017-09-26","9H 13M 21S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,103650.40234375,NA,NA,115722.4296875,NA,NA,558.000030517578,NA,190.400009155273,NA,160.800003051758,NA,395.850006103516,NA,229.320007324219,NA,635.440002441406,NA,436.160003662109,NA,381.639984130859,NA,317.720001220703,NA,358.679992675781,NA,429.240020751953,NA,211.68000793457,NA,150.43000793457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25-SEP-2017",2017-09-25 11:10:19,"2017-09-25","11H 10M 19S","Unknown","LSRII","1","Administrator",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,57431.201171875,NA,NA,60095.947265625,NA,NA,137.600006103516,NA,50.4000015258789,NA,64,NA,80.9900054931641,NA,72.8000030517578,NA,199.75,NA,71.4400024414062,NA,122.199996948242,NA,97.7600021362305,NA,113.925003051758,NA,163.660003662109,NA,61.7400016784668,NA,51.4500007629395,NA,63.43,0,21.34,43.61,0.8,0.91,0.94,0.49,NA
"22-SEP-2017",2017-09-22 08:59:20,"2017-09-22","8H 59M 20S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,103649.203125,NA,NA,118614.41015625,NA,NA,576.799987792969,NA,197.600006103516,NA,166.400009155273,NA,408.590026855469,NA,234.780014038086,NA,628.859985351562,NA,441.799987792969,NA,392.920013427734,NA,325.239990234375,NA,369.950012207031,NA,451.779998779297,NA,217.070007324219,NA,157.290008544922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-SEP-2017",2017-09-21 10:01:25,"2017-09-21","10H 1M 25S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,104594.80078125,NA,NA,121830.80078125,NA,NA,569.600036621094,NA,188.400001525879,NA,156.800003051758,NA,397.670013427734,NA,222.040008544922,NA,629.799987792969,NA,429.579986572266,NA,379.760009765625,NA,294.220001220703,NA,359.415008544922,NA,450.55500793457,NA,208.985008239746,NA,147.245002746582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-SEP-2017",2017-09-20 09:56:43,"2017-09-20","9H 56M 43S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,102570.3984375,NA,NA,118543.8828125,NA,NA,580.799987792969,NA,195.199996948242,NA,160,NA,403.130004882812,NA,228.410003662109,NA,626.039978027344,NA,430.519989013672,NA,376,NA,349.679992675781,NA,370.929992675781,NA,452.27001953125,NA,219.029998779297,NA,156.800003051758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-SEP-2017",2017-09-18 12:20:19,"2017-09-18","12H 20M 19S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,105905.6015625,NA,NA,119746.90625,NA,NA,577.600036621094,NA,198.400009155273,NA,163.199996948242,NA,414.960021972656,NA,233.870010375977,NA,639.200012207031,NA,440.859985351562,NA,402.320007324219,NA,328.059997558594,NA,376.809997558594,NA,449.820007324219,NA,218.050003051758,NA,154.839996337891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-SEP-2017",2017-09-13 09:09:38,"2017-09-13","9H 9M 38S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,22742.3701171875,NA,NA,55018.146484375,NA,NA,68.8000030517578,NA,24,NA,36,NA,46.4099998474121,NA,44.5900001525879,NA,117,NA,40,NA,64,NA,66,NA,64.6800003051758,NA,81.8300018310547,NA,35.7700004577637,NA,30.8700008392334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12-SEP-2017",2017-09-12 09:56:24,"2017-09-12","9H 56M 24S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,102580.0234375,NA,NA,115598.66796875,NA,NA,570.400024414062,NA,185.600006103516,NA,151.199996948242,NA,385.839996337891,NA,212.940002441406,NA,612,NA,405,NA,359,NA,295,NA,352.800018310547,NA,416.5,NA,208.740005493164,NA,145.040008544922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-SEP-2017",2017-09-11 10:10:40,"2017-09-11","10H 10M 40S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,66078.1796875,NA,NA,81348.99609375,NA,NA,163.199996948242,NA,60.7999992370605,NA,79.2000045776367,NA,108.290000915527,NA,95.5500030517578,NA,316,NA,94,NA,187,NA,125,NA,140.139999389648,NA,198.449996948242,NA,81.8300018310547,NA,65.1699981689453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08-SEP-2017",2017-09-08 09:23:43,"2017-09-08","9H 23M 43S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,101495.02734375,NA,NA,117491.46875,NA,NA,568,NA,184,NA,150.400009155273,NA,382.655014038086,NA,208.389999389648,NA,598,NA,389,NA,343,NA,281,NA,350.839996337891,NA,417.970001220703,NA,205.309997558594,NA,143.570007324219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-SEP-2017",2017-09-07 09:08:58,"2017-09-07","9H 8M 58S","Unknown","LSRII","1","Administrator",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100707.296875,NA,NA,115761.55859375,NA,NA,568.399993896484,NA,185.600006103516,NA,144.800003051758,NA,369.460021972656,NA,194.740005493164,NA,663,NA,446,NA,357,NA,289,NA,326.339996337891,NA,389.550018310547,NA,193.059997558594,NA,131.320007324219,NA,64.02,0,21.05,43.6,0.8,0.91,1,0.49,NA
"06-SEP-2017",2017-09-06 10:16:52,"2017-09-06","10H 16M 52S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,54491.939453125,NA,NA,60611.462890625,NA,NA,156.800003051758,NA,64,NA,87.2000045776367,NA,94.6399993896484,NA,94.6399993896484,NA,193,NA,81,NA,128,NA,122.5,NA,136.955001831055,NA,176.889999389648,NA,76.9300003051758,NA,68.8450012207031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-SEP-2017",2017-09-05 10:02:31,"2017-09-05","10H 2M 31S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,103402.98046875,NA,NA,117740.80859375,NA,NA,601.600036621094,NA,194.400009155273,NA,156,NA,389.480010986328,NA,208.389999389648,NA,662,NA,449,NA,368,NA,297,NA,344.470001220703,NA,422.380004882812,NA,207.760009765625,NA,144.550003051758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-SEP-2017",2017-09-01 12:16:06,"2017-09-01","12H 16M 6S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,107352.5390625,NA,NA,118079.78125,NA,NA,572.399993896484,NA,191.199996948242,NA,155.599998474121,NA,407.680023193359,NA,227.500007629395,NA,658,NA,449.5,NA,410,NA,355.5,NA,388.080017089844,NA,460.355010986328,NA,197.715003967285,NA,132.790000915527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31-JUL-2017",2017-07-31 11:00:24,"2017-07-31","11H 0M 24S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,104689.66796875,NA,NA,116586.9296875,NA,NA,634.119995117188,NA,208.330001831055,NA,170.149993896484,NA,402.675003051758,NA,228.410003662109,NA,626.039978027344,NA,418.299987792969,NA,370.359985351562,NA,311.609985351562,NA,380.75,NA,459,NA,222,NA,161,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"28-JUL-2017",2017-07-28 10:44:13,"2017-07-28","10H 44M 13S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,85691.92578125,NA,NA,116235.66796875,NA,NA,554.440002441406,NA,165.584999084473,NA,126.98999786377,NA,366.730010986328,NA,187.460006713867,NA,639.200012207031,NA,407.959991455078,NA,358.139984130859,NA,253.800003051758,NA,326.5,NA,411,NA,186.5,NA,122.5,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"27-JUL-2017",2017-07-27 09:48:36,"2017-07-27","9H 48M 36S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,74796.20703125,NA,NA,116461.34765625,NA,NA,546.969970703125,NA,148.56999206543,NA,116.199996948242,NA,352.170013427734,NA,175.630004882812,NA,591.260009765625,NA,374.119995117188,NA,338.399993896484,NA,229.360000610352,NA,329,NA,406.5,NA,182,NA,119,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"26-JUL-2017",2017-07-26 09:58:48,"2017-07-26","9H 58M 48S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,101969.28125,NA,NA,117181.6171875,NA,NA,562.739990234375,NA,174.300003051758,NA,136.119995117188,NA,376.740020751953,NA,204.75,NA,598.779968261719,NA,392.920013427734,NA,364.720001220703,NA,277.299987792969,NA,362,NA,426.75,NA,206,NA,140.25,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"25-JUL-2017",2017-07-25 09:58:01,"2017-07-25","9H 58M 1S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,103283.91015625,NA,NA,117521.5,NA,NA,602.580017089844,NA,189.239990234375,NA,151.889999389648,NA,382.200012207031,NA,210.210006713867,NA,619.930023193359,NA,405.139984130859,NA,366.600006103516,NA,279.179992675781,NA,366,NA,440.5,NA,209,NA,142.5,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"24-JUL-2017",2017-07-24 10:45:30,"2017-07-24","10H 45M 30S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,101179.93359375,NA,NA,115290.1796875,NA,NA,615.859985351562,NA,193.389999389648,NA,156.039993286133,NA,386.75,NA,215.670013427734,NA,620.400024414062,NA,415.480010986328,NA,375.059997558594,NA,284.820007324219,NA,363,NA,455,NA,212,NA,145.5,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"21-JUL-2017",2017-07-21 11:14:31,"2017-07-21","11H 14M 31S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,109983.828125,NA,NA,121473.171875,NA,NA,638.684967041016,NA,212.894996643066,NA,180.940002441406,NA,414.960006713867,NA,239.785003662109,NA,670.219970703125,NA,454.019989013672,NA,384.459991455078,NA,328.529998779297,NA,371.75,NA,446.75,NA,227.25,NA,162,NA,62.5,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"20-JUL-2017",2017-07-20 09:53:52,"2017-07-20","9H 53M 52S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,104671.84375,NA,NA,117447.3359375,NA,NA,639.099975585938,NA,206.669998168945,NA,170.979995727539,NA,396.760009765625,NA,223.860000610352,NA,627.919982910156,NA,423.940002441406,NA,375.059997558594,NA,311.139984130859,NA,372.5,NA,459.5,NA,220.5,NA,155,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"18-JUL-2017",2017-07-18 09:57:53,"2017-07-18","9H 57M 53S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,105897.375,NA,NA,118516.12890625,NA,NA,632.4599609375,NA,210.81999206543,NA,177.619995117188,NA,407.680023193359,NA,229.320007324219,NA,645.779968261719,NA,436.160003662109,NA,389.160003662109,NA,319.600006103516,NA,382,NA,459.5,NA,222,NA,161,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"17-JUL-2017",2017-07-17 10:20:55,"2017-07-17","10H 20M 55S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,104304.9140625,NA,NA,117543.796875,NA,NA,638.269958496094,NA,209.15998840332,NA,169.31999206543,NA,403.130004882812,NA,230.230010986328,NA,633.559997558594,NA,423.940002441406,NA,382.579986572266,NA,312.079986572266,NA,372,NA,447.5,NA,222.5,NA,159.5,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
"14-JUL-2017",2017-07-14 09:57:46,"2017-07-14","9H 57M 46S","Unknown","LSRII","1","Administrator",NA,NA,NA,610,NA,NA,260,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,105993.765625,NA,NA,119120.3671875,NA,NA,662.339965820312,NA,220.779998779297,NA,180.940002441406,NA,412.230010986328,NA,235.690002441406,NA,651.419982910156,NA,442.739990234375,NA,393.859985351562,NA,325.239990234375,NA,383,NA,468.5,NA,228.75,NA,163,NA,62.53,0,21.29,42.5,0.83,0.91,0.94,0.5,400
