"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","Time_Gain"
"07-DEC-2017",2017-12-07 11:54:39,"2017-12-07","11H 54M 39S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,80945.88671875,NA,NA,113559.5078125,NA,NA,641.559997558594,NA,220.160003662109,NA,191.779998779297,NA,378.510009765625,NA,233.43000793457,NA,555.210021972656,NA,392.459991455078,NA,389.205001831055,NA,331.080017089844,NA,369.5,NA,467,NA,216,NA,153.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2017",2017-12-06 09:59:22,"2017-12-06","9H 59M 22S","Unknown","2.16.0","Unknown","",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,29527.7890625,NA,NA,57861.345703125,NA,NA,159.960006713867,NA,60.2000007629395,NA,76.5400009155273,NA,217.619995117188,NA,93.9300003051758,NA,384.554992675781,NA,128.339996337891,NA,254.820007324219,NA,140.43000793457,NA,210.5,NA,247.75,NA,77.75,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2017",2017-12-05 08:32:43,"2017-12-05","8H 32M 43S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,50706.75,NA,NA,88164.93359375,NA,NA,195.650001525879,NA,86,NA,110.940002441406,NA,119.970001220703,NA,116.25,NA,214.830001831055,NA,93.9300003051758,NA,200.415000915527,NA,146.940002441406,NA,170.75,NA,213.25,NA,97.5,NA,79.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04-DEC-2017",2017-12-04 10:14:56,"2017-12-04","10H 14M 56S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,80965.15625,NA,NA,115660.3828125,NA,NA,585.660034179688,NA,188.339996337891,NA,156.520004272461,NA,353.399993896484,NA,191.580001831055,NA,523.590026855469,NA,372,NA,377.580017089844,NA,281.790008544922,NA,320.5,NA,383.5,NA,186,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-DEC-2017",2017-12-01 10:52:18,"2017-12-01","10H 52M 18S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,82218.9375,NA,NA,115068.43359375,NA,NA,617.47998046875,NA,208.980010986328,NA,179.740005493164,NA,367.350006103516,NA,210.18000793457,NA,534.75,NA,377.115005493164,NA,376.649993896484,NA,301.320007324219,NA,350.5,NA,426,NA,197.5,NA,136.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30-NOV-2017",2017-11-30 08:16:36,"2017-11-30","8H 16M 36S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,34793.830078125,NA,NA,64449.220703125,NA,NA,183.039993286133,NA,69.5199966430664,NA,94.1599960327148,NA,136.160003662109,NA,125.120002746582,NA,302.714996337891,NA,111.599998474121,NA,275.279998779297,NA,145.080001831055,NA,195.25,NA,295.5,NA,107.5,NA,72.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29-NOV-2017",2017-11-29 09:08:28,"2017-11-29","9H 8M 28S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,42283.708984375,NA,NA,72178.6015625,NA,NA,189.199996948242,NA,73.9199981689453,NA,99.4400024414062,NA,112.700004577637,NA,122.360000610352,NA,290.160003662109,NA,100.440002441406,NA,259.470001220703,NA,151.589996337891,NA,191.75,NA,291.5,NA,111.5,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-NOV-2017",2017-11-22 13:34:08,"2017-11-22","13H 34M 8S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,82570.71875,NA,NA,115155.484375,NA,NA,639.760009765625,NA,221.759994506836,NA,186.559997558594,NA,376.279998779297,NA,214.360000610352,NA,544.97998046875,NA,385.950012207031,NA,372,NA,314.339996337891,NA,363,NA,450.5,NA,209,NA,146.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-NOV-2017",2017-11-17 09:03:39,"2017-11-17","9H 3M 39S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,41794.400390625,NA,NA,59582.705078125,NA,NA,146.400009155273,NA,54.4000015258789,NA,72.8000030517578,NA,99.1900024414062,NA,116.480003356934,NA,162.619995117188,NA,67.6800003051758,NA,166.849998474121,NA,128.779998779297,NA,183.995002746582,NA,272.929992675781,NA,100.695003509521,NA,69.0900039672852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-NOV-2017",2017-11-16 11:33:53,"2017-11-16","11H 33M 53S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100507.6015625,NA,NA,116008.625,NA,NA,571.600006103516,NA,196.800003051758,NA,171.199996948242,NA,397.670013427734,NA,238.420013427734,NA,532.039978027344,NA,369.420013427734,NA,341.220001220703,NA,320.540008544922,NA,383.425003051758,NA,471.135009765625,NA,226.870010375977,NA,162.68000793457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
