"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor"
"30-DEC-2020",2020-12-30 07:47:34,"2020-12-30","7H 47M 34S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,74281.2578125,62833.275390625,77604.5,96946.51171875,61643.205078125,103043.5,13103.73046875,14093,10643.669921875,11721,12745.0703125,13829,8277.5,8744.5,10196.16015625,10787,7274.33984375,6922,7443.06005859375,7182.5,6967.6796875,6659.5,9900.32958984375,8725,13500.8994140625,16510,5917.0498046875,7271.5,9577.7998046875,11795.5,10522.349609375,12833.5,NA,NA,NA,NA,NA,NA,NA,NA
"30-DEC-2020",2020-12-30 07:46:20,"2020-12-30","7H 46M 20S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,75412.515625,63578.6015625,77944,97398.4453125,62321.40625,102368,14100.7099609375,14106,11594.830078125,11709,13606.169921875,13788,8417.6796875,8770,10389.66015625,10847,7608.35986328125,6940,7714.3798828125,7199,7213.919921875,6638,10516.5,8705,16988.849609375,16452,7492.0498046875,7271,12203.099609375,11790,13199.849609375,12779,NA,NA,NA,NA,NA,NA,NA,NA
"29-DEC-2020",2020-12-29 14:54:17,"2020-12-29","14H 54M 17S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,75449.37890625,62934.71875,78580,96789.9921875,61183.33984375,103682,11836.5703125,14361,9408.1103515625,11096.5,10685.1450195312,12984,8386.72021484375,8868,9951.919921875,10600,7488.08984375,7213,7721.2197265625,7532.5,7176.86987304688,6967.5,10079.8798828125,8913.5,13199.3994140625,16598,5900.1748046875,7321,8873.32470703125,11047.5,9231.52490234375,11598,NA,NA,NA,NA,NA,NA,NA,NA
"23-DEC-2020",2020-12-23 09:18:42,"2020-12-23","9H 18M 42S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,78123.4375,64269.8515625,79763,100191.71875,63257.84765625,103790,13770.490234375,13852,10923.330078125,11108,12816.9599609375,13091,8452.9404296875,8689,10217.66015625,10509,7949.2197265625,7779,8109.9599609375,8118,7599.23974609375,7487,10760.4599609375,9140,17588.69921875,17547,7721.5498046875,7698,11700.44921875,11668,12478.0498046875,12470,NA,NA,NA,NA,NA,NA,NA,NA
"23-DEC-2020",2020-12-23 09:17:34,"2020-12-23","9H 17M 34S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,75161.71875,63044.5859375,78208,95458.28125,61805.09375,101140,12019.060546875,13843,9557.419921875,11068,11530.05078125,13072,8107.22021484375,8505,9778.2001953125,10320,7513.73974609375,7623,7765.6796875,7964,7201.3798828125,7305,10024.01953125,9119,13157.5498046875,17414,5763.599609375,7639,8690.3994140625,11610,9395.5498046875,12439,NA,NA,NA,NA,NA,NA,NA,NA
"22-DEC-2020",2020-12-22 09:08:30,"2020-12-22","9H 8M 30S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,76330.21875,64028.857421875,78193,99836.54296875,62870.8984375,103924.5,13934.0205078125,13994,10061.4404296875,10209,11551.3798828125,11789,8516.580078125,8813,9800.13037109375,10135.5,8170.3798828125,8090.5,8267.85009765625,8372,7719.51000976562,7709.5,10795.7998046875,9188,17113.275390625,16598.5,7525.7998046875,7301.5,10773.6748046875,10410,11032.1997070312,10695,NA,NA,NA,NA,NA,NA,NA,NA
"22-DEC-2020",2020-12-22 09:06:25,"2020-12-22","9H 6M 25S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,74407.0390625,63129.65234375,77363,97355.44140625,61820.779296875,103164,12660.5400390625,14026.5,9154.12548828125,10205,10336.3603515625,11769,8278.7900390625,8774.5,9519.33984375,10071,7850.0400390625,8062,8034.14990234375,8336,7468.7099609375,7683.5,10058.7900390625,9177.5,13420.5747070312,16566.5,5858.09985351562,7306,8428.5,10427,8588.9248046875,10699,NA,NA,NA,NA,NA,NA,NA,NA
"21-DEC-2020",2020-12-21 08:32:13,"2020-12-21","8H 32M 13S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,75849.8984375,63903.904296875,77844,99545.86328125,62610.361328125,104119,13917.8256835938,13997,10119.900390625,10269,11564.0205078125,11816.5,8551.83984375,8877,9906.77001953125,10270,8068.919921875,7908.5,8197.740234375,8228,7704.68994140625,7613.5,10801.5,9156,16920.44921875,16312,7444.349609375,7186,10662.2998046875,10262,10881.2250976562,10501,NA,NA,NA,NA,NA,NA,NA,NA
"21-DEC-2020",2020-12-21 08:30:46,"2020-12-21","8H 30M 46S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,74719.01953125,63057.720703125,77716.5,97820.703125,61658.216796875,103864,11760.3354492188,14009,8834.17529296875,10267,9866.310546875,11789,8419.830078125,8882,9699.51025390625,10283.5,7783.919921875,7914,7968.60009765625,8209,7437.35986328125,7580,10035.9897460938,9146,13126.5,16322,5752.57470703125,7150.5,8209.349609375,10238.5,8439.2998046875,10487,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2020",2020-12-18 12:58:48,"2020-12-18","12H 58M 48S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,79847.8828125,64345.0078125,81429,100356.84375,63374.875,103779,12342.9599609375,13428,9772.2998046875,10693,11880.810546875,12892,8419.400390625,8668,10221.9599609375,10629,7871.69970703125,8078,8023.31982421875,8341,7419.1201171875,7649,10100.3994140625,9202,12993.2998046875,17307,5722.64990234375,7615,8923.5,11778,9401.3994140625,12555,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2020",2020-12-18 12:57:04,"2020-12-18","12H 57M 4S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,79924.640625,64798.58203125,80957,100568.3984375,63928.4453125,103010,13193,13428,10409.830078125,10691,12524.66015625,12943,8434.8798828125,8580,10381.060546875,10572,8062.080078125,7995,8132.759765625,8254,7573.02001953125,7580,10768.439453125,9199,16668,17170,7333.19970703125,7564,11386.7998046875,11735,12137.849609375,12531,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2020",2020-12-17 08:32:03,"2020-12-17","8H 32M 3S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,77588.01953125,63873.884765625,79673,101841.6328125,62790.42578125,106162.5,14192.3505859375,14193.5,10383.7607421875,10493,12092.1352539062,12284,8771.140625,9099,10162.6201171875,10552,8026.169921875,7562,8153.27978515625,7852,7663.64990234375,7276.5,10794.66015625,8972,17269.2001953125,16538,7550.099609375,7243,11114.3247070312,10612,11449.5747070312,10966,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2020",2020-12-17 08:30:24,"2020-12-17","8H 30M 24S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,75755.28125,62998.814453125,78874.5,99200.140625,61678.5234375,105187.5,12813.0107421875,14237,9542.01513671875,10484,10973.890625,12277.5,8474.4404296875,9021,9881.830078125,10473,7657.3798828125,7482,7876.259765625,7772.5,7303.40991210938,7167.5,10076.4599609375,8939,13731.75,16607.5,6016.49975585938,7274.5,8724.599609375,10631,9036,10987,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2020",2020-12-16 10:38:05,"2020-12-16","10H 38M 5S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,79753.640625,64859.5078125,80665,103056.3828125,63980.60546875,105603,13788.66015625,13840,10615.23046875,10751,12498.5908203125,12734,8666.2197265625,8824,10441.259765625,10618,8071.19970703125,7832,8197.740234375,8156,7647.1201171875,7484,10877.8798828125,9196,17919.44921875,17857,7804.7998046875,7805,11709.44921875,11673,12201.75,12193,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2020",2020-12-16 10:37:33,"2020-12-16","10H 37M 33S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,467,467,473,473,408,408,509,509,524,524,491,491,439,439,554,554,461,461,688,688,664,664,597,597,489,489,78553.6015625,64009.671875,80483,100668.1640625,62617.66015625,105357,13249.8798828125,13855,10227.33984375,10767,12145.4599609375,12773,8444.33984375,8819,10189.2802734375,10618,7754.27978515625,7801,7959.47998046875,8101,7422.5400390625,7476,10278.240234375,9190,14379.2998046875,17808,6330.599609375,7780,9450.8994140625,11660,9925.2001953125,12193,NA,NA,NA,NA,NA,NA,NA,NA
