"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","SSC-A_Gain","R670-A_Gain","R730-A_Gain","R780-A_Gain","B530-A_Gain","B710-A_Gain","V450-A_Gain","V525-A_Gain","V610-A_Gain","V670-A_Gain","Y590-A_Gain","Y615-A_Gain","Y710-A_Gain","Y780-A_Gain","FSC-A-% rCV","SSC-A-% rCV","R670-A-% rCV","R730-A-% rCV","R780-A-% rCV","B530-A-% rCV","B710-A-% rCV","V450-A-% rCV","V525-A-% rCV","V610-A-% rCV","V670-A-% rCV","Y590-A-% rCV","Y615-A-% rCV","Y710-A-% rCV","Y780-A-% rCV","FSC-A","SSC-A","R670-A","R730-A","R780-A","B530-A","B710-A","V450-A","V525-A","V610-A","V670-A","Y590-A","Y615-A","Y710-A","Y780-A","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","FSC-H_Gain","FSC-W_Gain","SSC-H_Gain","SSC-W_Gain","R670-H_Gain","R730-H_Gain","R780-H_Gain","B530-H_Gain","B710-H_Gain","V450-H_Gain","V525-H_Gain","V610-H_Gain","V670-H_Gain","Y590-H_Gain","Y615-H_Gain","Y710-H_Gain","Y780-H_Gain","FSC-H-% rCV","FSC-W-% rCV","SSC-H-% rCV","SSC-W-% rCV","R670-H-% rCV","R730-H-% rCV","R780-H-% rCV","B530-H-% rCV","B710-H-% rCV","V450-H-% rCV","V525-H-% rCV","V610-H-% rCV","V670-H-% rCV","Y590-H-% rCV","Y615-H-% rCV","Y710-H-% rCV","Y780-H-% rCV","FSC-H","FSC-W","SSC-H","SSC-W","R670-H","R730-H","R780-H","B530-H","B710-H","V450-H","V525-H","V610-H","V670-H","Y590-H","Y615-H","Y710-H","Y780-H","Time_Gain"
"21-DEC-2017",2017-12-21 09:48:57,"2017-12-21","9H 48M 57S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,1.98,2.18,3.67,4.89,5.46,2.53,4.07,2.79,2.4,4.5,2.91,3.8,5.48,5.19,5.19,81788.02734375,115295.35546875,9260.05029296875,8319.64013671875,8538.9404296875,8076.58520507812,7898.02514648438,7841.29516601562,8121.22509765625,8202.60009765625,8335.58984375,9007,8529.75,7813,6866.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-DEC-2017",2017-12-20 08:48:53,"2017-12-20","8H 48M 53S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.22,2.72,3.43,5.18,5.63,2.81,4.95,2.54,2.25,4.42,3.19,3.93,5.06,5.59,5.51,82481.3359375,115601.7890625,9466.0205078125,8546.6796875,8703.2001953125,8206.3203125,8082.6298828125,8089.14013671875,8320.7099609375,8419.2900390625,8298.3896484375,9028,8537,7830,6963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2017",2017-12-19 08:35:41,"2017-12-19","8H 35M 41S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.62,2.7,3.14,4.54,4.73,2.9,4.84,2.46,2.24,4.33,3.22,3.9,5.22,5.63,5.48,81373.109375,113708.3125,9209.740234375,8431.4404296875,8565.6005859375,8047.2900390625,8035.2001953125,7887.330078125,8111.4599609375,8180.2802734375,8273.7451171875,8809,8341.5,7811,6927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2017",2017-12-18 09:36:47,"2017-12-18","9H 36M 47S","Unknown","LSRII","1","Administrator",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.31,3.53,4.52,6.79,7.13,3.27,5.48,2.85,2.65,4.87,3.47,4.68,5.86,6.17,6.15,81931.1171875,115603.6484375,9280.259765625,8477.0205078125,8661.490234375,8133.7802734375,8073.330078125,7968.240234375,8211.900390625,8341.634765625,8336.5205078125,8913.25,8449,7839.5,7030.75,59.73,0,20.42,39.51,0.86,0.93,0.93,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15-DEC-2017",2017-12-15 14:49:25,"2017-12-15","14H 49M 25S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,1.59,2.57,3.69,5.49,5.56,2.42,4.77,2.44,1.86,3.93,3.06,4.16,5.15,5.95,5.31,82328.8203125,113592.9921875,9011.93994140625,8900.14013671875,9065.259765625,7900.81518554688,8059.84497070312,7857.57006835938,8154.23999023438,8242.125,8322.56982421875,8656.75,8150.5,8010,7222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2017",2017-12-14 08:22:13,"2017-12-14","8H 22M 13S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.21,2.79,3.49,5.19,5.47,2.95,5.16,3.12,2.89,4.93,3.37,4.17,5.54,6.07,5.81,100265.5,116415.07421875,9525.3603515625,9501.2802734375,9877.1005859375,8050.080078125,8575.5302734375,7873.3798828125,8161.68017578125,8356.0498046875,8429.5205078125,8956,8459,8665.25,8068.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2017",2017-12-13 09:17:04,"2017-12-13","9H 17M 4S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.12,3.05,4.07,5.59,5.89,2.98,5.25,3.2,2.86,4.89,3.52,4.3,5.39,6.04,5.78,82551.859375,116127.2421875,9514.1796875,9369.7001953125,9747.240234375,8044.5,8699.2197265625,7924.5302734375,8184.93017578125,8376.509765625,8335.58984375,9130,8644.5,8783,8105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2017",2017-12-12 09:02:27,"2017-12-12","9H 2M 27S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.18,2.68,3.9,5.83,6.07,2.79,5.23,2.6,2.21,4.61,3.26,4.14,5.45,5.98,5.78,81745.796875,115777.5625,9521.919921875,8901,9257.0400390625,8113.31982421875,8363.490234375,7905.93017578125,8178.419921875,8316.060546875,8365.349609375,9124.5,8657.5,8369,7625.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2017",2017-12-11 09:04:43,"2017-12-11","9H 4M 43S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.26,4.82,4.31,5.97,6.35,3.93,5.73,4.11,3.79,5.1,3.51,4.05,5.18,5.99,5.93,84730.6015625,121966.7109375,10049.1005859375,9554.17041015625,10017.7104492188,8399.294921875,8796.8701171875,8239.7998046875,8492.759765625,8659.23046875,8553.2099609375,9348.75,8859.25,8693.5,8008.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2017",2017-12-08 09:21:08,"2017-12-08","9H 21M 8S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.21,2.56,2.99,4.25,4.29,2.61,4.8,2.8,2.42,4.52,3.23,4.04,5.22,5.61,5.56,80396.078125,112758.31640625,9420.4404296875,9005.060546875,9494.400390625,7933.830078125,8246.31005859375,7955.68505859375,8092.85986328125,8263.98046875,8159.81982421875,8746,8315.25,8125.5,7632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
