"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","SSC-A_Gain","R670-A_Gain","R730-A_Gain","R780-A_Gain","B530-A_Gain","B710-A_Gain","V450-A_Gain","V525-A_Gain","V610-A_Gain","V670-A_Gain","Y590-A_Gain","Y615-A_Gain","Y710-A_Gain","Y780-A_Gain","FSC-A-% rCV","SSC-A-% rCV","R670-A-% rCV","R730-A-% rCV","R780-A-% rCV","B530-A-% rCV","B710-A-% rCV","V450-A-% rCV","V525-A-% rCV","V610-A-% rCV","V670-A-% rCV","Y590-A-% rCV","Y615-A-% rCV","Y710-A-% rCV","Y780-A-% rCV","FSC-A","SSC-A","R670-A","R730-A","R780-A","B530-A","B710-A","V450-A","V525-A","V610-A","V670-A","Y590-A","Y615-A","Y710-A","Y780-A","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","FSC-H_Gain","FSC-W_Gain","SSC-H_Gain","SSC-W_Gain","R670-H_Gain","R730-H_Gain","R780-H_Gain","B530-H_Gain","B710-H_Gain","V450-H_Gain","V525-H_Gain","V610-H_Gain","V670-H_Gain","Y590-H_Gain","Y615-H_Gain","Y710-H_Gain","Y780-H_Gain","FSC-H-% rCV","FSC-W-% rCV","SSC-H-% rCV","SSC-W-% rCV","R670-H-% rCV","R730-H-% rCV","R780-H-% rCV","B530-H-% rCV","B710-H-% rCV","V450-H-% rCV","V525-H-% rCV","V610-H-% rCV","V670-H-% rCV","Y590-H-% rCV","Y615-H-% rCV","Y710-H-% rCV","Y780-H-% rCV","FSC-H","FSC-W","SSC-H","SSC-W","R670-H","R730-H","R780-H","B530-H","B710-H","V450-H","V525-H","V610-H","V670-H","Y590-H","Y615-H","Y710-H","Y780-H","Time_Gain"
"07-DEC-2017",2017-12-07 11:54:39,"2017-12-07","11H 54M 39S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,1.68,2.36,3.24,4.69,5.04,2.65,5.23,2.33,2.09,4.06,3.19,3.92,5.04,5.37,5.35,81890.1171875,114053.34375,9496.98046875,9300.0400390625,9622.5400390625,7969.169921875,8415.5703125,8099.3701171875,8237.009765625,8414.6396484375,8476.0205078125,8815.5,8339,8501,7876.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2017",2017-12-06 09:59:22,"2017-12-06","9H 59M 22S","Unknown","2.16.0","Unknown","",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.29,5.4,4.65,7.89,8.5,3.96,6.81,6.66,6.6,8.2,5.14,4.84,6.34,7.34,8.32,81571.9609375,115552.5,9390.77001953125,7664.32006835938,7565.419921875,8131.455078125,7461.85498046875,8255.6103515625,8362.09521484375,8472.2998046875,8126.33984375,9039.5,8577.25,7020,5990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2017",2017-12-05 08:32:43,"2017-12-05","8H 32M 43S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,4.46,5.91,5.67,7.88,8.77,4.42,6.48,5.33,5.02,6.51,4.03,4.51,5.99,6.65,7.42,87810.9296875,123656.98828125,9668.98046875,7928.34008789062,7937.80029296875,8725.259765625,8081.23510742188,8562.509765625,8674.1103515625,8851.740234375,8443.4697265625,9439.75,8875.75,7450.75,6366.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04-DEC-2017",2017-12-04 10:14:56,"2017-12-04","10H 14M 56S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.1,3.07,5.5,7.02,8.06,3.29,5.14,2.77,2.52,4.74,3.67,3.92,5.43,6.02,6.28,82855.26171875,117162.79296875,9209.31005859375,7632.07006835938,7596.81005859375,8247.705078125,7723.65014648438,8168.18994140625,8329.544921875,8513.22021484375,8312.80517578125,9000,8491.75,7157.5,6176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-DEC-2017",2017-12-01 10:52:18,"2017-12-01","10H 52M 18S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,1.98,3.28,3.38,5.43,5.96,2.92,5.44,4.32,3.94,5.84,3.67,4.39,5.64,6.44,6.73,83393.1796875,116353.69921875,9432.48046875,8174.30029296875,8145.92016601562,8199.810546875,7795.26000976562,8105.4150390625,8280.7197265625,8391.3896484375,8262.1201171875,9004,8479.5,7421,6371.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30-NOV-2017",2017-11-30 08:16:36,"2017-11-30","8H 16M 36S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.11,5.06,4.88,7.43,7.66,3.8,6.47,4.02,3.39,5.83,4.27,4.86,6.48,7.16,7.39,85488.28125,120013.54296875,10150.7998046875,8599.7998046875,8598.47998046875,8392.240234375,8116.240234375,8448.5849609375,8601.10498046875,8890.3349609375,8695.96533203125,9654.75,9151,7963.5,6704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29-NOV-2017",2017-11-29 09:08:28,"2017-11-29","9H 8M 28S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.46,4.17,4.11,6.68,6.73,3.32,5.75,4.15,3.4,5.61,4.14,4.52,5.38,6.93,6.77,85963.47265625,119594.0234375,10150.3598632812,8845.759765625,8976,8356.8203125,8165.46020507812,8384.8798828125,8523.4501953125,8827.09521484375,8566.23046875,9580.5,9060.5,8085.25,7141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-NOV-2017",2017-11-22 13:34:08,"2017-11-22","13H 34M 8S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,1.68,2.55,2.96,4.04,4.47,2.79,5.15,4.47,3.92,5.84,3.86,4.03,5.28,5.55,5.37,83770.3828125,116134.359375,9655.3603515625,9595.51953125,10039.0400390625,8107.9599609375,8444.6796875,8046.35986328125,8225.849609375,8266.7705078125,8179.35009765625,9055,8584,8595,8105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-NOV-2017",2017-11-17 09:03:39,"2017-11-17","9H 3M 39S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.73,5.22,6.86,8.14,8.3,3.56,5.35,12.44,12.27,12.44,6.59,3.9,5.12,5.84,6.39,101539.6015625,116188.8046875,7640.40014648438,6886,7088.80029296875,8532.16015625,8491.2099609375,6540.98999023438,6638.75,6772.69995117188,7580.16015625,9808.330078125,9266.88037109375,8772.9599609375,7809.6201171875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-NOV-2017",2017-11-16 11:33:53,"2017-11-16","11H 33M 53S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.53,4,4.6,6.19,6.01,3.22,5.61,7.76,7.36,8.88,5.09,4.03,5.48,5.91,5.61,102602.3984375,117693.9453125,8742.400390625,8505.6005859375,8815.2001953125,8496.669921875,8850.66015625,7743.72021484375,7801.06005859375,7925.14013671875,8098.10009765625,9395.259765625,8910.16015625,9016.98046875,8502.48046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15-NOV-2017",2017-11-15 08:08:03,"2017-11-15","8H 8M 3S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.11,4.1,6.69,8.27,8.59,3.41,5.53,11.51,11.35,11.8,6.45,4.17,5.34,5.82,5.99,103380.8046875,118816.8828125,7504.80029296875,7145.60009765625,7249.60009765625,8654.1005859375,8814.2607421875,7046.23974609375,7118.6201171875,7285.93994140625,7825.5,9590.2802734375,9026.7802734375,8950.33984375,8237.8798828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-NOV-2017",2017-11-13 08:48:17,"2017-11-13","8H 48M 17S","Unknown","LSRII","1","Administrator",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,4.25,4.94,9.89,10.82,11.16,4.19,6.15,18.38,18.17,18.2,9.41,4.26,5.45,5.95,7.15,102704.3984375,119448.42578125,7929.60009765625,7523.2001953125,7681.60009765625,8686.8603515625,8928.0107421875,7071.14990234375,7144.46997070312,7345.63012695312,8053.44995117188,9587.09521484375,9063.775390625,9127.47509765625,8518.8955078125,63.43,0,21.34,43.61,0.8,0.91,0.94,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-NOV-2017",2017-11-10 08:40:12,"2017-11-10","8H 40M 12S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.94,3.72,6.99,8.7,9.13,3.18,5.48,10.59,10.5,10.99,5.82,4.07,5.21,6,6.53,104340.00390625,118214.91796875,7996.80029296875,7305.60009765625,7273.60009765625,8781.5,8784.685546875,7748.88989257812,7737.61010742188,7942.53002929688,8232.0498046875,9722.8251953125,9194.8505859375,8800.89013671875,7947.80029296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09-NOV-2017",2017-11-09 09:15:21,"2017-11-09","9H 15M 21S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,4.56,6.84,11.3,12.42,13.95,6.1,7.6,21.57,22.09,20.27,8.84,7.29,8.09,11.95,17.67,100121.6015625,116648.80859375,7164,6125.2001953125,5623.19995117188,8446.6201171875,8527.1552734375,7008.64013671875,7004.8798828125,7237.06005859375,7731.03002929688,9132.6201171875,8537.02490234375,7930.89526367188,6345.98999023438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08-NOV-2017",2017-11-08 09:09:37,"2017-11-08","9H 9M 37S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.72,3.63,6.47,8.19,8.59,3,5.31,10.92,10.88,11.01,5.7,4.11,5.32,5.93,6.59,103388.8046875,117904.15625,8007.2001953125,7344.80029296875,7388,8804.25,8913.4501953125,7516.23974609375,7582.0400390625,7784.14013671875,8070.83984375,9673.08984375,9163.490234375,8832.740234375,8041.39013671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-NOV-2017",2017-11-07 09:04:50,"2017-11-07","9H 4M 50S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,2.87,3.89,7,8.71,8.98,3.18,5.54,8.34,8.19,9.02,5.07,4.23,5.36,6.07,6.37,104296.40234375,118961.1171875,7975.60009765625,7299.2001953125,7424,8852.48046875,8889.3349609375,8359.419921875,8426.16015625,8632.9599609375,8417.7001953125,9660.59521484375,9141.4404296875,8752.62548828125,8037.71508789062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-NOV-2017",2017-11-06 08:16:57,"2017-11-06","8H 16M 57S","Unknown","2.16.0","Unknown","Unknown",610,260,450,464,390,466,471,420,388,500,406,625,641,525,400,3.35,4.36,4.91,6.66,7.11,3.82,5.86,3.71,3.42,5.2,3.65,4.48,5.38,6.31,6.77,102960.8046875,120009.890625,9007.2001953125,8481.6005859375,8571.2001953125,8758.75,9077.25,9249.599609375,9368.9794921875,9588,8945.0400390625,9525.1103515625,9060.1005859375,8995.91015625,8289.8203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
