"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor"
"27-DEC-2019",2019-12-27 12:22:18,"2019-12-27","12H 22M 18S","Unknown","LSRII","1","Administrator",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,99626.203125,65985.3515625,98555,118093.9140625,64954.34765625,118940,7160.0498046875,7283,5682.64990234375,5858,4973.31982421875,5155,7527.23974609375,7525,7307.15966796875,7290,6970.55029296875,7043,6719.85009765625,6956,7026.14013671875,7163,8202.25,6841,7518.599609375,7650,6999.75,7127,5679.44970703125,5780,5237.5498046875,5351,56.83,0,20.2,39.48,0.89,0.84,1.09,0.45
"27-DEC-2019",2019-12-27 12:21:21,"2019-12-27","12H 21M 21S","Unknown","LSRII","1","Administrator",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,93091.62890625,65428.111328125,93269,113350.015625,64586.275390625,116235.5,6682.1201171875,7054.5,5261.23486328125,5674,4637.7900390625,4969.5,7176.53979492188,7329,6820.37963867188,6931,6471.87524414062,6709.5,6269.68017578125,6595,6536.73022460938,6805,7648.5302734375,6712.5,6998.1748046875,7433.5,6525.6748046875,6930.5,5282.10009765625,5603,4879.35009765625,5210,56.83,0,20.2,39.48,0.89,0.84,1.09,0.45
"27-DEC-2019",2019-12-27 08:26:25,"2019-12-27","8H 26M 25S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,110275.9140625,64098.607421875,112975,122784.0546875,62106.076171875,129972.5,7461.31494140625,7354,6678.56005859375,6666,5913.15966796875,5935.5,8056.43994140625,8352,8678.4599609375,8942.5,7477.400390625,7362,7283.38037109375,7353,7804.400390625,7734,8763.6005859375,7232,7512.97485351562,7282,7064.099609375,6854,6634.7998046875,6423,6369.97485351562,6183,NA,NA,NA,NA,NA,NA,NA,NA
"27-DEC-2019",2019-12-27 08:25:44,"2019-12-27","8H 25M 44S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,104473.9375,60698.8671875,112939,115599.953125,58891.78125,128782,6917.080078125,7351,6193.509765625,6655,5505.5400390625,5922,7632.23974609375,8348,8326.080078125,8943,6660.990234375,7362,6530.1904296875,7348,7021.7802734375,7684,6763.4501953125,7194,4593.60009765625,7248,4203,6857,3982.0498046875,6384,3755.25,6156,NA,NA,NA,NA,NA,NA,NA,NA
"23-DEC-2019",2019-12-23 08:08:18,"2019-12-23","8H 8M 18S","Unknown","LSRII","1","Administrator",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,103451.2578125,60498.88671875,112240,119600.0390625,59591.44140625,130949,6780.90966796875,7320,6388.419921875,6917,5846.40966796875,6365,7602,8329,8180.759765625,8835,6626.1103515625,7028,6634.830078125,7029,7033.77001953125,7415,7154.76025390625,7241,4526.10009765625,7421,4297.94970703125,7033,4159.7998046875,6736,3993.75,6704,56.83,0,20.2,39.48,0.89,0.84,1.09,0.45
"20-DEC-2019",2019-12-20 08:21:01,"2019-12-20","8H 21M 1S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,108242.7578125,63194.7265625,112348,111527.6328125,60938.64453125,120782,7365.6396484375,7288,6941.10986328125,6956,6441.81982421875,6491,7649.8798828125,8073,8591.51953125,9011,7041.400390625,6293,6905.150390625,6305,7396.740234375,6642,8694.9306640625,6981,7515,7296,7119.89990234375,6912,7096.0498046875,6864,6993.44970703125,6801,NA,NA,NA,NA,NA,NA,NA,NA
"20-DEC-2019",2019-12-20 08:20:38,"2019-12-20","8H 20M 38S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,103359.5,61027.69140625,111857,96851.15625,60002.62109375,108749,6939.330078125,7230,6528.14990234375,6915,6085.81982421875,6457,7287,7953,8305.919921875,8950,6002.63037109375,6213,5731.22021484375,6213,6449.5302734375,6515,7856.72021484375,6917,7125.75,7328,6669.89990234375,6959,6721.64990234375,6880,6297.75,6820,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2019",2019-12-19 08:39:09,"2019-12-19","8H 39M 9S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,108045.921875,63788.390625,111016,115369.796875,61743.41015625,123112,7346.94970703125,7285,7002.52001953125,7018,6468.52001953125,6502,7638.11962890625,7978,8519.279296875,8828,7306.27001953125,6699,7146.0400390625,6718,7650.71044921875,7079,8884.58984375,7143,7704.89990234375,7552,7302.599609375,7169,7282.7998046875,7113,7221.599609375,7084,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2019",2019-12-19 08:38:31,"2019-12-19","8H 38M 31S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,102517.75,60334.4375,111246,108500.6953125,59145.86328125,120880.5,6739.080078125,7268,6457.39477539062,6988,5979.02001953125,6472,7308.83984375,7958,8042.99951171875,8829,6271.8603515625,6649,6161.77001953125,6665,6740.56005859375,7033,6620.115234375,7138,5522.39990234375,7557,5233.0498046875,7168,5181.75,7115,5183.32495117188,7085,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2019",2019-12-18 08:32:29,"2019-12-18","8H 32M 29S","Unknown","2.16.0","Unknown","Unknown",570,570,570,270,270,270,484,484,510,510,425,425,498,498,505,505,471,471,425,425,546,546,455,455,630,630,664,664,570,570,452,452,109724.98046875,64666.099609375,111220.5,90791.3984375,62651.32421875,95011.5,7419.0400390625,7319,5928.73486328125,5925,5224.2998046875,5246,7400.39990234375,7565,7806.9599609375,7958,7494.84033203125,7174,7320.4404296875,7148,7864.89526367188,7548,8759.78515625,7073,7488.6748046875,7229,7121.69970703125,6864.5,5921.5498046875,5706.5,5374.35009765625,5196,NA,NA,NA,NA,NA,NA,NA,NA
